[2026-02-16 00:10:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:15:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:20:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:25:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:30:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:35:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:40:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:45:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:50:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 00:55:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:00:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:05:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:10:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:15:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:20:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:25:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:30:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:43:40,109: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
[2026-02-16 01:45:00,000: INFO/MainProcess] Scheduler: Sending due task detect-unmarked-submissions (myapp.tasks.detect_unmarked_submissions)
